"","musicas","letras"
"1","De Selby, Pt. 1 (Tradução)","At last, when all of the world is asleep You take in the blackness of air The likes of a darkness so deep That God at the start couldn’t bear And sit unseen, with only the inner upheld Your reflection can't offer a word To the bliss of not knowin' yourself With all mirrorin' gone from the world But still the mind, rejectin' this new empty space Fills it with something or someone No closer could I be to God Or why he would do what he’s done You’re all bright ease But you come on like night Entangled, Together, transformed You’re all bright ease But you come on like night Art is a transformation It is a dark art You’re all bright ease But you come on like night Entangled, Together, transformed You’re all bright ease But you come on like night Art is a transformation It is a dark art "
"2","De Selby, Pt. 1","At last, when all of the world is asleep You take in the blackness of air The likes of a darkness so deep That God at the start couldn’t bear And sit unseen, with only the inner upheld Your reflection can't offer a word To the bliss of not knowin' yourself With all mirrorin' gone from the world But still the mind, rejectin' this new empty space Fills it with something or someone No closer could I be to God Or why he would do what he’s done Bhfuilis soranna sorcha Ach tagais ‘nós na hoíche Trína chéile; le chéile claochlaithe Bhfuilis soranna sorcha Ach tagais ‘nós na hoíche Is claochlú an ealín Is ealaín dubh í Bhfuilis soranna sorcha Ach tagais ‘nós na hoíche Trína chéile; le chéile claochlaithe Bhfuilis soranna sorcha Ach tagais ‘nós na hoíche Is claochlú an ealín Is ealaín dubh í"
"3","De Selby, pt. 2","What you're given, what you live in Darling, it finds a way to live in you And your heart, love, has such darkness I feel it in the corners of the room ( If I was any closer) after the gloom( I could only lose me) I wanna lose me, I( If I fade away, let me fade away) I wanna fade away with you( If I was any closer) if I was any closer( I could only lose me) I could be lost( If I fade away, let me fade away) no more than I was or than I Want to be when you fall on me like night, every time And I want to be so far from sight and mind I wanna kill the lights I wanna run against the world that's turnin' I'd move so fast that I'd outpace the dawn I wanna be gone I wanna run so far, I'd beat the mornin' Before the dawn has come, I'd block the Sun If you want it done Let all time slow, let all light go I don't need to know where we begin and end I'd still know you, not being shown you I only need the working of my hands ( If I was any closer) you understand( I could only lose me) I wanna lose me, I( If I fade away, let me fade away) I wanna fade away with you( If I was any closer) if I was any closer( I could only lose me) I could be lost( If I fade away, let me fade away) no more than I was or than I Want to be when you fall on me like night I wanna kill the lights I wanna run against the world that's turnin' I'd move so fast that I'd outpace the dawn I wanna be gone I wanna run so far, I'd beat the mornin' Before the dawn has come, I'd block the Sun If you want it done ( If I was any closer, I could only lose me)( If I fade away, let me fade away)( If I was any closer, I could only lose me)( If I fade away, let me fade away) I wanna run against the world that's turnin' I'd move so fast that I'd outpace the dawn I wanna be gone I wanna run so far, I'd beat the mornin' Before the dawn has come, I'd block the Sun If you want it done"
"4","First Time","Remember once I told you about How before I heard it from your mouth My name would always hit my ears as such an awful sound And the soul, if that's what you'd call it Uneasy ally of the body, it felt nameless as a river Undiscovered underground And the first time that you kissed me I drank dry the river Lethe The Liffey would have been softer on my stomach all the same But you spoke some quick new music That went so far to soothe this soul As it was and ever shall be, unearth without a name Some part of me must have died The first time that you called me baby And some part of me came alive The first time that you called me baby These days I think I owe my life To flowers that were left here by my mother Ain't that like them? Giftin' life to you again This life lived mostly underground Unknowin' either sight nor sound Till reachin' up for sunlight just to be ripped out by the stem Sensing only now it's dyin' Drying out, then drowning blindly Bloomin' forth its every colour In the moments it has left To share the space with simple living things Infinitely suffering, but fighting off like all creation The absence of itself, anyway Some part of me must have died Each time that you called me baby But some part of me stayed alive Each time that you called, each time that you called Come here Ooh-la-la, ooh-la-la Whatever keeps you around, it keeps you around Ooh-la-la, come here, ooh-la-la Whatever keeps you around, it keeps you around The last time it was heard out loud The perfect genius of our hands and mouths were shocked To resignation as the arguing declined When I was young I used to guess Are there limits to any emptiness? When was the last time Come here to me, when was the last time? Some part of me must have died The final time that you called me baby But some part of me came alive The final time you called me baby"
"5","Francesca","Do you think I'd give up? That this might've shook the love from me Or that I was on the brink? How could you think Darling, I'd scare so easily? Now that it's done There's not one thing that I would change My life was a storm since I was born How could I fear any hurricane? If someone asked me at the end I'd tell them: Put me back in it Da-a-darling, I would do it again (ah-ah, ah-ah) If I could hold you for a minute Da-a-darling, I'd go through it again (ah-ah, ah-ah) I would still be surprised I could find you Darling, in any life If I could hold you for a minute Da-a-darling, I would do it again (ah-ah, ah-ah) For all that was said Of where we'd end up at the end of it When the heart would cease, ours never knew peace What good would it be on the far side of things? It was too soon When that part of you was ripped away A grip takin' hold like a cancer that grows Each piece of your body that it takes Though I know my heart would break I'd tell them: Put me back in it Da-a-darling, I would do it again (ah-ah, ah-ah) If I could hold you for a minute Da-a-darling, I'd go through it again (ah-ah, ah-ah) I would still be surprised I could find you Darling, in any life If I could hold you for a minute Da-a-darling, I would do it again (ah-ah, ah-ah) I would not change it each time Heaven is not fit to house a love like you and I ( I've heard there's nothing to hurt) I would not change it each time Heaven is not fit to house a love like you and I ( I've heard there's nothing to hurt) I would not change it each time Heaven is not fit to house a love Like you and I"
"6","I, Carrion (Icarian)","If the wind turns, if I hit a squall Allow the ground to find its brutal way to me I feel lighter than I have in so much time I've crossed the border line of weightless One deep breath out from the sky I've reached a rarer height now that I can confirm All our weight is just a burden offered to us by the world And though I burn, how could I fall? When I am lifted by every word you say to me If anything could fall at all, it's the world That falls away from me You had me floatin' like a feather on the sea While you're as heavy as the world That you hold your hands beneath Once I had wondered what was holding up the ground I can see that all along, love, it was you all the way down Leave it now, I am sky-bound If you need to, darling, lean your weight to me We'll float away, but if we fall I only pray, don't fall away from me I do not have wings, love, I never will Soarin' over a world you are carryin' If these heights should bring my fall Let me be your own Icarian, carrion If the wind turns, if I hit a squall Allow the ground to find its brutal way to me If I should fall, on that day I only pray, don't fall away from me"
"7","Eat Your Young","I'm starvin', darlin' Let me put my lips to something Let me wrap my teeth around the world Start carvin', darlin' I wanna smell the dinner cooking I wanna feel the edges start to burn Honey, I wanna race you to the table If you hesitate, the gettin' is gone I won't lie if there's something to be gained There's money to be made, whatever's still to come Get some Pull up the ladder when the flood comes Throw enough rope until the legs have swung Seven new ways that you can eat your young Come and get some Skinning the children for a war drum Putting food on the table selling bombs and guns It's quicker and easier to eat your young You can't buy this fineness Let me see the heat get to you Let me watch the dressing start to peel It's a kindness, highness Crumbs are not for everyone Old and young are welcome to the meal Honey, I'm makin' sure the table's made We can celebrate, the good that we've done I won't lie if there's something still to take There is ground to blame, whatever's still to come Get some Pull up the ladder when the flood comes Throw enough rope until the legs have swung Seven new ways that you can eat your young Come and get some Skinning the children for a war drum Putting food on the table selling bombs and guns It's quicker and easier to eat your young"
"8","Damage Gets Done (feat. Brandi Carlile)","Without shame, two outfits then to my name You'd end up in one when you'd stay We had nowhere to go and every desire for going there I heard once, it's the comforts that make us feel numb We'd go out with no way to get home And we'd sleep on somebody's floor and wake up feeling like a millionaire Wish I had known it was now just turnin' (we just got by) Blamed for a world we had no power in (but we tried) You and I had nothin' to show (we didn't know) But the best of the world in the palm of our hands And darlin', I haven't felt it since then I don't know how the feelin' ended But I know being reckless and young Is not how the damage gets done One time we would want for nothin' (one time we had it all, love) We knew what our love was worth (when we had nothing) Now we're always missing something ( I don't miss when) I don't miss when we did not need much Oh, if the car ran, the car was enough If the Sun shone on us, it's a plus And the tank was always filled up Only enough for our gettin' there ( And you flew away) that first car was like wings on an angel Before the whole wide world got too thin( From me then) I swear goodwill kept up the engine You were steering my heart like a wheel in your hands (turn back, darling) And darlin', I haven't felt it since then I don't know how the feelin' ended But I know being reckless and young Is not how the damage gets done All I needed was someone When the whole wide world felt young All I needed was someone When the whole wide world felt young"
"9","Who We Are","You only feel it when it's lost Gettin' through still has a cost Quietly, it slips through your fingers love Falling from you drop by drop What I had left here I just held it tight So someone with your eyes might come in time To hold me like water Or Christ, hold me like a knife We're born at night So much of our lives Is just carvin' through the dark To get so far And the hardest part Is who we are It's who we are You and I burned out our steam Chasing someone else's dream How can somethin' be so much heavier But so much less than what it seems Darling, we sacrificed We gave our time to somethin' undefined This phantom life, it sharpens like an image But it sharpens like a knife We're born at night So much of our life Is just carvin' through the dark To get so far And the hardest part Is who we are That's who we are Yeah Yeah, yeah Yeah Yeah, yeah Yeah Yeah, yeah Yeah Yeah, yeah You only feel it when it's lost Gettin' through still has its cost Quietly, it slips through your fingers love Fallin' from you drop by drop"
"10","Son Of Nyx",""
"11","All Things End","A two tonne weight around my chest feels like It just dropped a twenty storey height If there was anyone to ever get through this life With their heart still intact, they didn’t do it right The last time I felt your weight on my chest you said We didn't get it right but love we did our best And we will again Moving on in time and taking more from Everything that ends And all things end All that we intend is scrawled in sand Or slips right through our hands And just knowing That everything will end Should not change our plans when we begin again We begin again, hmm-mm I have never known a silence like the one fallen here Never watched my future darken in a single tear I know we want this to go easy by being somebody's fault But we’ve gone long enough to know This isn’t what we want And that isn’t always bad When people say that something is forever Either way it ends And all things end All that we intend is scrawled in sand Or slips right through our hands And just knowing That everything will end Should not change our plans When we begin again We begin again We begin again, hm-mm Darling And all things end All that we intend is built on sand Slips right through our hands And just knowing That everything will end Won't change our plans When we begin again And all things end All that we intend is scrawled in sand Or slips right through our hand And just knowing That everything will end Should not change our plans When we begin again"
"12","To Someone From a Warm Climate (Uiscefhuarithe)","A joy, hard learned in winter was the warming of the bed You'd shake for minutes there and move your legs Wrap the blanket over you and keep your head within Let your breath heat the air until you'd feel it getting thin Uiscefhuaraithe The feel of coldness only water brings There are some things that no one teaches you, love That come natural as a dream you didn't know that you were in And darlin', all my dreamin' is only put to shame And darlin', all my dreamin' has only been given a name But it came easy, darlin' As natural as another leg around you in the bed frame In summer's heat, I learned to dread the comin' of the night The awful things we do to make the head go quiet You'd press your body to the concrete when you were small The rains of winter seemed to never leave the walls Uiscefhuaraithe The feel of coolness only water brings There are some things that no-one teaches you, love That God in his awful wisdom first programs in But darlin', all my dreamin' is only been put to shame And darlin', all my dreamin' has only been given a name But it happened, darlin' As natural as another leg around you in the bed And I wish I could say That the river of my arms have found the ocean I wish I could say the cold lake water of my heart Christ, it's boilin' over But it happened easy, darlin' Natural as another leg around you in the bed frame"
"13","Butchered Tongue","As a child it was the place names Singin' at me as the first thing How the mouth must be employed in every corner of itself To say appalacicola or hushpukena, like gweebara A promise softly sang of somewhere else And as a young man blessed to pass so many road signs And have my foreign ear made fresh again on each unlikely sound But feel at home, hearin' a music that few still understand A butchered tongue still singin' here above the ground The ears were chopped from young men if the pitch cap didn't kill them They are buried without scalp in the shattered bedrock of our home You may never know your fortune Until the distance has been shown between what is lost forever And what can still be known So far from home to have a stranger call you darling And have your guarded heart be lifted like a child up by the hand In some town that just means home to them With no translator left to sound A butchered tongue still singin' here above the ground"
"14","Anything But","Come here to me, I wish I was a may fly on the river tay I'd fit all my joys and my pleasures in one perfect day I wish I was the sunlight just sitting on the Mississippi I'd settle for a shopping trolley in the liffey In a shot I'd swap my body for a body of water Worry the cliff side top as a wave crashing over I'd lower the world in a flood or better yet I'd cause a drought If I was a rip tide I wouldn't take you out I don't wanna be anything But I would do anything just to run away I don't wanna be anything like this at all But I would do anything if you'd hear me say Oh, yeah, hey Go look another way Yeah, hey Look another way Look, I wanna be loud, so loud, I'm talking seismic I wanna be soft as a single stone in a rainstick I wanna be the thunder of a hundred thousand hooves moving quick If I was a stampede you wouldn't get a kick I wanna be the shadow when my bright future's behind me I wanna be the last thing anybody ever sees I hear he touches your hand, and then you fly away together If I had his job, you would live forever I don't wanna be anything, love But I would do anything just to run away I don't wanna be anything like this at all But I would do everything if you hear me say Oh, yeah, hey Go look another way Yeah, hey Look another way I don't wanna be anything, be anything But I would do anything (go look another way) I don't wanna be, wanna be, wanna be, wanna be, wanna be Don't wanna be anything, anything Oh, yeah, hey Go look another way ( I don't wanna be anything) Yeah, hey Look another way"
"15","Abstract (Psychopomp)","Sometimes it returns, like rain that you slept through That washed off the world The streets looking brand new I will not be great, but I'm grateful to get through The feeling came late, I'm still glad I met you The memory hurts but does me no harm Your hand in my pocket, to keep us both warm The poor thing in the road its eye still glistening The cold wet of your nose, the earth from a distance See how it shines See how it shines See how it shines See how it shines Oh-oh-ooh Oh-oh-ooh Oh-oh-ooh Sometimes there's a thought like you choose what you're doing But it comes to naught when I look back through it I remember the view, streetlights in the dark blue The moment I knew I'd no choice but to love you The speed that you moved, the screech of the cars The creature still moving, that slowed in your arms The fear in its eyes, gone out in an instant Your tear caught the light, the earth from a distance See how it shines See how it shines See how it shines See how it shines Oh-oh-ooh Oh-oh-ooh Oh-oh-ooh Darling, there's a part of me I'm afraid will always be Trapped within an abstract from a moment of my life The weeds up through the concrete The traffic picking up speed All my love and terror balanced there between those eyes See how it shines See how it shines"
"16","Unknown / Nth","You know the distance never made A difference to me I swam a lake of fire, I’d have walked Across the floor of any sea Ignored the vastness between All that can be seen And all that we believe So I thought you were like an angel to me Funny how true colours shine in darkness And in secrecy If there were scarlet flags They washed out in the mind of me Where a blinding light shone on you every night And either side of my sleep Where you were held frozen like an angel to me It ain’t the being alone( Sha-la-la) It ain’t the empty home, baby( Sha-la-la) You know I'm good on my own( Sha-la-la) Sha-la-la, baby You know, it’s more the being unknown So much of the living, love Is the being unknown You called me angel for the first time My heart leapt from me You smile now I can see its pieces still stuck in your teeth And what’s left of it I listen to it tick Every tedious beat going unknown As any angel to me Do you know, I could break beneath the weight Of the goodness love I still carry for you That I’d walk so far just to take The injury of finally knowing you And it ain’t the being alone( Sha-la-la) It ain’t the empty home baby( Sha-la-la) You know I'm good on my own( Sha-la-la) Sha-la-la baby You know it’s more the being unknown And there are some people, love Who are better unknown"
"17","First Light","Ah-ah, ah-ah, ah-ah-ah Ah-ah, ah-ah, ah-ah-ah Ah-ah, ah-ah, ah-ah-ah Ah-ah, ah-ah, ah-ah-ah Ah-ah, ah-ah, ah-ah-ah One bright morning changes all things Soft and easy as your breathing, you wake Your eyes open at first a thousand miles away But turning shoot a silver bullet point-blank range And I can scarce believe what I'm believing in Could this be how every day begins? The sky set to burst The gold and the rust The colour erupts You filling my cup The Sun coming up Like I lived my whole life Before the first light Like I lived my whole life Before the first light One bright morning goes so easy Darkness always finds you either way It creeps into the corners as the moment fades A voice your body jumps to calling out your name But after this I'm never gonna be the same And I am never going back again The sky set to burst The gold and the rust The colour erupts You filling my cup The Sun coming up Like I lived my whole life Before the first light Like I lived my whole life Before the first light Hey, like I lived my whole life Before the first light Yeah, yeah, like I lived my whole life Before the first light"
